Date,usd_krw_usd_krw_Open,usd_krw_usd_krw_High,usd_krw_usd_krw_Low,usd_krw_usd_krw_Close,usd_krw_usd_krw_Adj Close,usd_krw_usd_krw_Volume,Open,High,Low,Close,Volume,Change,UpDown,Comp,Amount,MarCap
2007-05-22,928.25,929.929993,928.109985,929.719971,929.719971,0.0,1634.09,1643.11,1627.01,1642.88,529315623,0.009000000000000001,1,14.68,6465889074252,807518838574405
2007-05-23,929.719971,932.73999,928.299988,931.409973,931.409973,0.0,1647.44,1651.61,1638.36,1646.59,447334323,0.0023,1,3.71,5201198515930,809266496031100
2007-05-25,930.0,931.150024,926.25,927.27002,927.27002,0.0,1629.18,1645.08,1627.59,1644.56,375034016,-0.0012,2,-2.03,4585695350712,808153524618025
2007-05-28,927.130005,927.380005,911.929993,912.099976,912.099976,0.0,1650.53,1658.43,1646.15,1657.91,379269479,0.008100000000000001,1,13.35,4554530526210,814512143210565
2007-05-29,912.140015,929.049988,911.830017,931.409973,931.409973,0.0,1663.32,1666.85,1653.24,1661.8,495105489,0.0023,1,3.89,5677843000207,816191937405535
2007-05-30,929.02002,931.409973,927.950012,931.409973,931.409973,0.0,1661.83,1662.72,1638.03,1662.72,488636360,0.0006,1,0.92,6690894191867,816292084964250
2007-05-31,929.22998,931.409973,925.5,931.409973,931.409973,0.0,1683.35,1702.01,1677.78,1700.91,497058760,0.023,1,38.19,8014584406945,835119358766830
2007-06-01,926.429993,928.869995,925.549988,927.51001,927.51001,0.0,1712.97,1745.39,1707.75,1716.24,615433724,0.009000000000000001,1,15.33,9309098045126,842898549439965
2007-06-04,909.460022,927.700012,908.710022,931.409973,931.409973,0.0,1734.27,1744.02,1713.5,1737.59,465229583,0.0124,1,21.35,7880713200756,853448755462760
2007-06-05,926.909973,927.049988,924.900024,926.030029,926.030029,0.0,1735.87,1745.99,1721.02,1742.19,488031377,0.0026,1,4.6,6974805030350,855668139805775
2007-06-07,925.580017,928.090027,924.700012,927.840027,927.840027,0.0,1722.47,1753.24,1717.3,1753.04,496218151,0.0062,1,10.85,7266534328618,861058033346880
2007-06-08,927.780029,931.039978,927.650024,929.840027,929.840027,0.0,1735.96,1739.14,1717.18,1727.28,503237573,-0.0147,2,-25.76,7885837765217,848720278010645
2007-06-11,929.630005,931.900024,929.530029,931.409973,931.409973,0.0,1740.46,1742.86,1709.96,1716.56,475878199,-0.0062,2,-10.72,6993162782787,843532928973225
